id,webpage,fingerprint
8,qq.com,5F:8D:A5:E4:8C:A7:85:A0:DE:75:70:EF:2D:28:DD:B3:3A:7F:9A:08:07:BA:EE:92:FA:7F:D1:F6:CA:EA:2E:5E
88,go.com,AC:65:50:8A:B6:0C:2E:81:B2:6E:63:26:77:66:6D:5D:7F:13:8E:EB:8F:09:C8:9C:AA:65:4B:94:94:7A:11:F7
103,haosou.com,43:6E:91:11:E7:B1:0E:4B:3B:16:76:6B:48:A5:09:BB:6A:0C:A7:BA:B2:F6:51:88:9B:0C:21:A7:1E:17:C1:58
122,bilibili.com,38:E5:3D:9C:C3:9D:74:50:B2:53:2D:B7:EC:A6:91:10:EA:54:9D:63:B7:27:FC:34:ED:3C:5E:3B:4B:E0:65:CD
142,ettoday.net,5D:F8:67:7F:79:A1:41:A2:EE:E5:7B:F7:CA:56:E7:57:0C:B3:B3:B6:57:14:37:D2:06:8B:BB:09:FD:D7:81:15
183,onlinesbi.com,2D:A2:4A:89:DF:DE:4D:E3:35:6A:98:BD:25:0C:E1:DC:33:A3:6F:E1:9A:4D:CF:40:A8:B6:1D:32:4B:DF:3D:69
198,steampowered.com,33:BF:9A:05:6A:3A:5D:3D:AA:9A:10:25:56:E5:55:E3:70:49:A8:79:29:6F:D9:11:BD:89:23:15:C6:B2:22:7F
204,iqiyi.com,04:D9:4F:86:51:D3:17:74:22:33:B4:01:A4:CE:F3:B7:B5:9D:5E:00:70:0C:19:10:19:BD:8D:D7:42:74:DB:E7
215,rdsa2012.com,AE:4A:10:2F:29:84:33:69:C6:2A:33:FF:6B:D2:96:BE:EF:82:69:8F:BF:91:4C:3E:B5:8B:CD:D3:D8:A3:75:89
252,fbcdn.net,A6:26:B1:54:CC:65:63:41:81:25:0B:81:0B:1B:D4:C8:9E:C2:77:CE:A0:8D:78:5E:EB:E7:E7:68:BD:A7:BB:00
267,blog.jp,AC:4D:CB:28:A1:13:69:8C:51:71:4D:E3:60:B7:2D:FB:96:BC:58:F4:53:A3:90:60:6C:9F:5A:B4:E9:0A:A5:C3
280,bitauto.com,91:D0:E4:E4:86:1D:E0:69:39:F7:30:79:5E:11:45:3C:51:EB:1C:06:BA:5A:86:6E:D4:EC:CB:86:93:F3:DD:F9
293,usps.com,CC:40:52:BC:B4:4D:27:0D:D0:79:88:5D:D9:20:39:3C:7F:75:54:61:30:1C:36:BC:DB:9A:61:FC:6B:8B:70:AE
319,ruten.com.tw,B3:40:77:7A:D0:53:4D:8C:D0:BD:5D:09:E9:EC:17:F1:73:68:EB:B4:47:37:AC:6D:3E:CE:5D:C5:BB:E6:04:52
372,loading-delivery2.com,90:6D:19:48:65:32:9F:FB:26:C9:4E:84:39:ED:8A:E1:CB:20:FA:F3:66:D8:57:9D:1C:7F:AB:B3:AA:07:A3:78
394,lowes.com,51:13:91:5A:6C:0C:F6:0F:86:6E:B0:65:6D:41:3D:C2:E2:1A:27:67:54:69:CF:8C:4C:F9:CB:FC:1E:E6:C3:08
398,blkget.com,C2:57:95:78:39:B7:14:7B:76:08:9B:EB:58:99:30:FB:E4:1D:3E:7B:D4:F6:C2:F0:35:F3:FE:82:7D:6B:27:FA
409,digikala.com,A5:87:FB:98:78:13:BD:B1:5B:3E:7E:FD:36:63:04:4B:0F:79:AC:A2:A0:82:DE:E8:EE:F8:09:C9:5C:59:7B:CD
411,nba.com,7C:5A:ED:A9:F1:5B:3B:FA:A2:0A:01:24:C0:D8:6D:D5:1E:9E:79:C4:31:E9:84:39:74:85:24:B5:96:48:C8:A0
412,acfun.tv,14:83:EE:91:F0:59:7F:75:AD:BE:E1:8B:13:F1:61:10:5A:01:59:DE:9D:3E:E6:0A:57:09:CF:3E:56:2E:A3:C0
471,ameba.jp,B6:C4:41:91:73:1E:E8:B2:9C:C5:B9:2F:C6:49:28:C0:71:8C:74:82:EA:C5:37:3C:4C:E5:25:4A:1B:40:81:9A
494,kooora.com,8B:DD:6A:C2:08:40:E7:B1:A6:84:2A:75:A8:9C:A0:AA:6C:8B:63:71:06:4C:4C:D0:49:F7:C7:FA:F7:B8:CF:78
539,tutorialspoint.com,E9:2D:0A:C2:8A:DD:73:97:0F:E8:98:5E:24:65:0C:F1:16:F0:16:77:41:99:18:65:B3:F8:3F:FD:37:E8:C1:72
548,gamer.com.tw,C7:BC:25:6B:86:66:41:F3:F0:6F:85:A7:3D:68:E6:68:B1:72:B9:07:1E:BB:24:6E:6C:4B:92:17:17:6F:EC:34
563,kijiji.ca,E4:E1:9D:F3:9D:61:ED:3B:FB:69:F6:12:E0:8E:C2:FA:5F:D9:9B:18:0D:3E:D7:4D:95:20:6B:ED:34:2C:CB:49
568,instructables.com,37:99:2C:E0:D2:71:E3:31:91:41:35:ED:BB:BA:A4:DE:C3:07:D2:81:2A:9C:AE:AA:89:57:73:55:9C:E3:20:E0
589,y8.com,38:B2:7B:1B:9E:2F:B4:50:16:4A:DA:98:EE:CF:0F:C5:CE:3E:D5:8F:F6:BA:75:16:99:30:5F:F8:E4:73:FD:F1
621,souq.com,55:63:5F:E1:BE:1C:AD:AA:18:A9:FB:13:56:FB:AF:9D:F5:20:63:3B:DA:18:58:17:07:4A:36:DC:0F:6C:FA:BF
629,4399.com,DE:7E:07:56:A9:30:C3:56:E1:48:13:28:13:16:62:19:44:23:3E:DB:33:B5:19:E8:D9:CE:61:D9:6E:61:40:0D
639,filehippo.com,CA:5C:57:BE:E6:AB:21:C0:55:DC:DB:E8:AD:25:FE:EF:6D:17:64:A9:2E:2A:AA:AD:B5:D5:5F:B6:67:C3:F8:AC
652,moneycontrol.com,2E:38:59:06:32:0E:F6:2A:F9:74:5A:FF:F7:15:F4:D6:54:81:C4:F5:0D:41:CC:CE:D6:66:D2:57:23:94:A0:60
673,overstock.com,F0:63:E4:B7:54:F0:C2:F5:E1:60:B0:DE:CF:13:1F:EC:29:7B:A4:80:77:E9:ED:E7:0E:31:BF:28:0F:25:E8:F9
680,verizon.com,37:80:F4:5C:4D:DD:09:90:98:A9:C2:CF:BE:F4:CD:ED:BB:32:5A:23:6B:14:E6:B4:55:29:87:82:DE:78:4F:BC
